"","rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
"1",1,"Connecticut","BE","29-8",0.95909639918318,121.292317303125,3,92.1921833703314,12,66.8482435735713,197,"29-8","13-7",4.96246483123099,13,2023-03-25
"2",2,"Alabama","SEC","31-6",0.955026488414657,116.169720193077,15,89.0628404336478,3,72.6005486243335,4,"31-6","16-2",10.2056028128557,1,2023-03-25
"3",3,"Houston","Amer","33-4",0.952609429349052,117.403617981118,13,90.4394154991429,5,63.413022063943,341,"33-4","17-1",8.08964721610984,5,2023-03-25
"4",4,"UCLA","P12","31-6",0.952538890244811,114.8715058223,22,88.5008713381881,2,66.12766370538,234,"31-6","18-2",8.45450640605751,4,2023-03-25
"5",5,"Tennessee","SEC","25-11",0.939423832389359,111.233891800625,58,87.6415793157712,1,65.202282795426,285,"25-11","11-7",2.83778475318922,25,2023-03-25
"6",6,"Texas","B12","29-8",0.93872803621813,115.915474225763,16,91.4268517165941,9,68.501018451279,118,"29.7-8.3","12-6",7.60462881993736,8,2023-03-25
"7",7,"Purdue","B10","29-6",0.933289101390696,117.860531815296,10,93.6983464117941,19,63.9858131027841,330,"29-6","15-5",9.3691426992187,3,2023-03-25
"8",8,"Arizona","P12","28-7",0.929313552617293,119.371715813301,6,95.4140232688131,34,72.2130850057114,10,"28-7","14-6",7.63164030344962,7,2023-03-25
"9",9,"San Diego St.","MWC","30-6",0.928252223882746,111.301455846371,56,89.0876656762019,4,65.9140722243706,252,"30.5-6.5","15-3",5.79726581463974,10,2023-03-25
"10",10,"Gonzaga","WCC","31-6",0.924787346585041,123.212582886202,1,99.0590384250787,79,70.1795794171091,40,"31-6","14-2",6.69397923291207,9,2023-03-25
"11",11,"Saint Mary's","WCC","27-8",0.921505956109493,112.11472631919,43,90.5000090455281,6,61.9561764977703,359,"27-8","14-2",3.48293973689893,22,2023-03-25
"12",12,"Kansas","B12","28-8",0.917370062734418,113.875683128399,30,92.3689541953719,13,69.0964172507362,83,"28-8","13-5",10.1399723046111,2,2023-03-25
