"","rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
"1",1,"Alabama","SEC","31-6",0.955060087071478,116.155235133211,15,89.0456758348083,3,72.5782151873933,4,"31-6","16-2",10.1961336609941,1,2023-03-24
"2",2,"Connecticut","BE","28-8",0.954640957958933,121.510518133454,3,93.2298689306248,14,66.7833592108016,199,"28.6-8.4","13-7",4.86270381264819,13,2023-03-24
"3",3,"UCLA","P12","31-6",0.952754912551109,114.869808007888,22,88.4627188565688,2,66.1036074012295,234,"31-6","18-2",8.46149477387799,4,2023-03-24
"4",4,"Houston","Amer","33-4",0.952553877919995,117.43237381727,13,90.4712416244488,6,63.3876440846818,341,"33-4","17-1",8.0878312565958,5,2023-03-24
"5",5,"Tennessee","SEC","25-11",0.939247554734097,111.23777892018,58,87.6682212110901,1,65.1783397818892,285,"25-11","11-7",2.82316463829218,25,2023-03-24
"6",6,"Texas","B12","29-8",0.938739832863305,115.926769179624,16,91.4341296310477,9,68.4787302907263,118,"29.7-8.3","12-6",7.63215872334422,7,2023-03-24
"7",7,"Purdue","B10","29-6",0.933456918776441,117.864295887735,9,93.679353709879,18,63.9620358303074,330,"29-6","15-5",9.36924144515855,3,2023-03-24
"8",8,"Gonzaga","WCC","31-5",0.931477670886749,124.548842753392,1,99.2632209697922,81,70.1103224257609,40,"31.4-5.6","14-2",6.7517416720085,9,2023-03-24
"9",9,"Arizona","P12","28-7",0.929293736342843,119.374627022149,6,95.4188528409884,34,72.1881225177729,10,"28-7","14-6",7.63558416004812,6,2023-03-24
"10",10,"San Diego St.","MWC","30-6",0.9284580646742,111.360461406207,55,89.110910642318,4,65.8888495152357,252,"30.5-6.5","15-3",5.81595272587751,10,2023-03-24
"11",11,"Saint Mary's","WCC","27-8",0.922998829947033,112.127260134457,43,90.3464052817815,5,61.9349398736212,359,"27-8","14-2",3.58837707639685,21,2023-03-24
"12",12,"Kansas","B12","28-8",0.91731855586879,113.890610395656,30,92.3865193271146,12,69.073269679983,83,"28-8","13-5",10.1384548422699,2,2023-03-24
"13",13,"Marquette","BE","29-7",0.915247556670135,118.364134204992,8,96.2410700528628,42,68.4098977857956,122,"29-7","17-3",7.5692444741577,8,2023-03-24
"14",14,"Creighton","BE","24-12",0.914647994007569,115.142130227155,21,93.6840252154275,19,67.8622598325103,149,"24.5-12.5","14-6",1.93655792920837,31,2023-03-24
"15",15,"Duke","ACC","27-9",0.905533703857323,113.215322584368,32,93.0135617725811,13,64.8947182141469,300,"27-9","14-6",4.51350054428317,16,2023-03-24
"16",16,"Memphis","Amer","26-9",0.901414459638156,115.400213621128,20,95.1988532953434,32,71.0299468650738,24,"26-9","13-5",4.74782645057778,15,2023-03-24
"17",17,"Baylor","B12","23-11",0.901321021571265,121.921227226084,2,100.58752463233,102,66.9094589586045,187,"23-11","11-7",5.32139008125953,11,2023-03-24
"18",18,"West Virginia","B12","19-15",0.893125869035296,117.325154683397,14,97.5469596600145,57,68.4586668419288,120,"19-15","7-11",1.53359630884572,36,2023-03-24
"19",19,"Arkansas","SEC","22-14",0.888126749128719,111.826204401586,49,93.3909014928066,15,69.5348696329269,60,"22-14","8-10",0.435430055123574,48,2023-03-24
"20",20,"Xavier","BE","27-10",0.884729643050302,117.848669707616,10,98.7097565904931,74,70.4990380616342,34,"27-10","15-5",5.15128668264015,12,2023-03-24
"21",21,"Auburn","SEC","21-13",0.883358648834903,113.177760850414,33,94.9077272833214,28,67.6298640938267,157,"21-13","10-8",1.06699545275895,42,2023-03-24
"22",22,"Texas A&M","SEC","25-10",0.882683676464817,113.997367001409,29,95.6493599680526,37,66.0218539400905,244,"25-10","15-3",3.69221342076037,19,2023-03-24
"23",23,"Kansas St.","B12","26-9",0.881746220590518,112.519813096515,40,94.4837130367965,25,69.7739454927452,48,"26.5-9.5","11-7",4.30548389868366,17,2023-03-24
"24",24,"Michigan St.","B10","21-13",0.876233620833788,114.302371617629,26,96.4141329498083,45,64.6315595465545,307,"21-13","11-8",2.4228446217666,27,2023-03-24
"25",25,"Florida Atlantic","CUSA","34-3",0.875652350395885,113.139626783096,35,95.4777570643532,36,67.5284654109901,162,"34.5-3.5","18-2",4.75388621539848,14,2023-03-24
"26",26,"TCU","B12","22-13",0.872493039049241,111.847111464349,47,94.6228978398989,27,69.7203980374527,50,"22-13","9-9",2.313460315652,29,2023-03-24
"27",27,"Kentucky","SEC","22-12",0.871572943478481,115.698511330491,17,97.9513942640198,63,65.8076297685317,258,"22-12","12-6",1.6415081939161,33,2023-03-24
"28",28,"Miami FL","ACC","28-7",0.871530331167403,119.181286630683,7,100.903282723741,108,68.7949527534389,97,"28.3-7.7","15-5",3.65558871258755,20,2023-03-24
"29",29,"Iowa St.","B12","19-14",0.869330379550044,107.222279120133,121,90.9324573674525,7,64.0379238229554,326,"19-14","9-9",2.42504970363142,26,2023-03-24
"30",30,"Utah St.","MWC","26-9",0.86904359125271,115.631534049863,18,98.0856410435402,66,68.6531625014733,108,"26-9","13-5",3.18979164199952,24,2023-03-24
